name,description,requirements,min_age,max_age,min_income,max_income,premium_amount,duration_years,category
WellCare Shield 573,Comprehensive health coverage for individuals with cashless hospitalization.,Aadhar Card;PAN Card;Medical Certificate,18,57,300000,1200000,33181,16,Health
MediSecure Plus 501,Premium medical insurance with annual health checkups and critical illness cover.,Aadhar Card;PAN Card;Medical Certificate,22,61,200000,800000,73121,24,Health
HealthGuard Elite 337,Affordable plan offering doctor consultations and pharmacy discounts.,Aadhar Card;PAN Card;Medical Certificate,27,49,50000,1200000,41084,17,Health
Wellness Prime 836,Exclusive plan with maternity and emergency care support.,Aadhar Card;PAN Card;Medical Certificate,30,59,50000,800000,88377,25,Health
CareSure Advantage 572,Full-spectrum health protection with no-claim bonus benefits.,Aadhar Card;PAN Card;Medical Certificate,20,49,300000,800000,48181,6,Health
Lifeline Protect 986,Comprehensive health coverage for individuals with cashless hospitalization.,Aadhar Card;PAN Card;Medical Certificate,23,46,300000,800000,63107,29,Health
VitalHealth Cover 713,Premium medical insurance with annual health checkups and critical illness cover.,Aadhar Card;PAN Card;Medical Certificate,24,59,50000,800000,28390,6,Health
Shield360 Medical 357,Affordable plan offering doctor consultations and pharmacy discounts.,Aadhar Card;PAN Card;Medical Certificate,22,48,300000,500000,23544,5,Health
MediAssist Premier 189,Exclusive plan with maternity and emergency care support.,Aadhar Card;PAN Card;Medical Certificate,19,46,100000,800000,14661,27,Health
Healthwise Platinum 646,Full-spectrum health protection with no-claim bonus benefits.,Aadhar Card;PAN Card;Medical Certificate,26,51,100000,1200000,82704,6,Health
WellCare Shield 676,Comprehensive health coverage for individuals with cashless hospitalization.,Aadhar Card;PAN Card;Medical Certificate,26,49,200000,500000,62877,8,Health
MediSecure Plus 723,Premium medical insurance with annual health checkups and critical illness cover.,Aadhar Card;PAN Card;Medical Certificate,24,58,50000,800000,13096,16,Health
HealthGuard Elite 271,Affordable plan offering doctor consultations and pharmacy discounts.,Aadhar Card;PAN Card;Medical Certificate,23,51,200000,1200000,60864,21,Health
Wellness Prime 486,Exclusive plan with maternity and emergency care support.,Aadhar Card;PAN Card;Medical Certificate,22,45,50000,1200000,87133,21,Health
CareSure Advantage 660,Full-spectrum health protection with no-claim bonus benefits.,Aadhar Card;PAN Card;Medical Certificate,24,64,200000,1200000,19052,30,Health
Lifeline Protect 624,Comprehensive health coverage for individuals with cashless hospitalization.,Aadhar Card;PAN Card;Medical Certificate,29,47,300000,500000,80462,21,Health
VitalHealth Cover 261,Premium medical insurance with annual health checkups and critical illness cover.,Aadhar Card;PAN Card;Medical Certificate,29,65,100000,1200000,44867,5,Health
Shield360 Medical 949,Affordable plan offering doctor consultations and pharmacy discounts.,Aadhar Card;PAN Card;Medical Certificate,25,61,50000,1200000,43614,22,Health
MediAssist Premier 966,Exclusive plan with maternity and emergency care support.,Aadhar Card;PAN Card;Medical Certificate,29,63,100000,1200000,25303,7,Health
Healthwise Platinum 140,Full-spectrum health protection with no-claim bonus benefits.,Aadhar Card;PAN Card;Medical Certificate,25,49,100000,800000,36352,23,Health
DriveSafe Protect 255,"Covers accidental damage, third-party liability, and theft protection.",Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,23,42,100000,500000,12957,26,Car
AutoShield Premium 207,Zero-depreciation car insurance with roadside assistance.,Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,19,59,100000,500000,65692,9,Car
RoadGuard Secure 339,Premium plan with engine and gearbox protection included.,Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,25,48,50000,500000,86261,11,Car
