name,description,requirements,min_age,max_age,min_income,max_income,premium_amount,duration_years,category,policy_number,policy_type,benefits,claim_settlement_ratio,network_hospitals,waiting_period,add_on_covers,special_features,tax_benefit,claim_process
WellCare Shield 573,Comprehensive health coverage for individuals with cashless hospitalization.,Aadhar Card;PAN Card;Medical Certificate,18,57,300000,1200000,33181,16,Health,POL1000,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,94.4%,8826+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
MediSecure Plus 501,Premium medical insurance with annual health checkups and critical illness cover.,Aadhar Card;PAN Card;Medical Certificate,22,61,200000,800000,73121,24,Health,POL1001,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,90.3%,4204+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
HealthGuard Elite 337,Affordable plan offering doctor consultations and pharmacy discounts.,Aadhar Card;PAN Card;Medical Certificate,27,49,50000,1200000,41084,17,Health,POL1002,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,95.0%,8811+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
Wellness Prime 836,Exclusive plan with maternity and emergency care support.,Aadhar Card;PAN Card;Medical Certificate,30,59,50000,800000,88377,25,Health,POL1003,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,95.2%,7179+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
CareSure Advantage 572,Full-spectrum health protection with no-claim bonus benefits.,Aadhar Card;PAN Card;Medical Certificate,20,49,300000,800000,48181,6,Health,POL1004,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,96.2%,8371+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
Lifeline Protect 986,Comprehensive health coverage for individuals with cashless hospitalization.,Aadhar Card;PAN Card;Medical Certificate,23,46,300000,800000,63107,29,Health,POL1005,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,96.9%,6099+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
VitalHealth Cover 713,Premium medical insurance with annual health checkups and critical illness cover.,Aadhar Card;PAN Card;Medical Certificate,24,59,50000,800000,28390,6,Health,POL1006,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,91.0%,3203+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
Shield360 Medical 357,Affordable plan offering doctor consultations and pharmacy discounts.,Aadhar Card;PAN Card;Medical Certificate,22,48,300000,500000,23544,5,Health,POL1007,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,97.8%,12303+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
MediAssist Premier 189,Exclusive plan with maternity and emergency care support.,Aadhar Card;PAN Card;Medical Certificate,19,46,100000,800000,14661,27,Health,POL1008,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,95.1%,8941+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
Healthwise Platinum 646,Full-spectrum health protection with no-claim bonus benefits.,Aadhar Card;PAN Card;Medical Certificate,26,51,100000,1200000,82704,6,Health,POL1009,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,95.7%,8156+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
WellCare Shield 676,Comprehensive health coverage for individuals with cashless hospitalization.,Aadhar Card;PAN Card;Medical Certificate,26,49,200000,500000,62877,8,Health,POL1010,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,97.9%,14397+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
MediSecure Plus 723,Premium medical insurance with annual health checkups and critical illness cover.,Aadhar Card;PAN Card;Medical Certificate,24,58,50000,800000,13096,16,Health,POL1011,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,90.2%,3259+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
HealthGuard Elite 271,Affordable plan offering doctor consultations and pharmacy discounts.,Aadhar Card;PAN Card;Medical Certificate,23,51,200000,1200000,60864,21,Health,POL1012,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,93.4%,5197+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
Wellness Prime 486,Exclusive plan with maternity and emergency care support.,Aadhar Card;PAN Card;Medical Certificate,22,45,50000,1200000,87133,21,Health,POL1013,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,90.8%,3716+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
CareSure Advantage 660,Full-spectrum health protection with no-claim bonus benefits.,Aadhar Card;PAN Card;Medical Certificate,24,64,200000,1200000,19052,30,Health,POL1014,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,97.8%,12293+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
Lifeline Protect 624,Comprehensive health coverage for individuals with cashless hospitalization.,Aadhar Card;PAN Card;Medical Certificate,29,47,300000,500000,80462,21,Health,POL1015,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,97.0%,10040+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
VitalHealth Cover 261,Premium medical insurance with annual health checkups and critical illness cover.,Aadhar Card;PAN Card;Medical Certificate,29,65,100000,1200000,44867,5,Health,POL1016,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,92.5%,4166+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
Shield360 Medical 949,Affordable plan offering doctor consultations and pharmacy discounts.,Aadhar Card;PAN Card;Medical Certificate,25,61,50000,1200000,43614,22,Health,POL1017,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,88.1%,5325+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
